,시가,고가,저가,수정종가,거래량
2010-06-30,482.0,558.0,482.0,526.0,9420.0
2010-07-01,512.0,540.0,500.0,528.0,6305.0
2010-07-02,539.0,540.0,520.0,540.0,9443.0
2010-07-05,548.0,548.0,540.0,540.0,2589.0
2010-07-06,530.0,540.0,520.0,529.0,1464.0
2010-07-07,530.0,539.0,519.0,520.0,3246.0
2010-07-08,530.0,554.0,516.0,516.0,952.0
2010-07-09,500.0,527.0,500.0,527.0,12914.0
2010-07-12,520.0,547.0,520.0,538.0,513.0
2010-07-13,537.0,540.0,516.0,524.0,9369.0
2010-07-14,524.0,533.0,520.0,530.0,7306.0
2010-07-15,514.0,529.0,505.0,520.0,5489.0
2010-07-16,520.0,520.0,498.0,517.0,10488.0
2010-07-19,518.0,522.0,500.0,507.0,5501.0
2010-07-20,482.0,517.0,482.0,507.0,3030.0
2010-07-21,518.0,518.0,498.0,508.0,3336.0
2010-07-22,500.0,507.0,474.0,490.0,17484.0
2010-07-23,480.0,495.0,480.0,494.0,3382.0
2010-07-26,500.0,500.0,460.0,481.0,10387.0
2010-07-27,480.0,490.0,480.0,486.0,6633.0
2010-07-28,484.0,484.0,463.0,478.0,9083.0
2010-07-29,476.0,476.0,464.0,466.0,4440.0
2010-07-30,466.0,466.0,445.0,456.0,1951.0
2010-08-02,480.0,480.0,449.0,449.0,3280.0
2010-08-03,449.0,480.0,449.0,467.0,3567.0
2010-08-04,456.0,476.0,447.0,470.0,8682.0
2010-08-05,470.0,470.0,440.0,466.0,4629.0
2010-08-06,457.0,464.0,444.0,450.0,7418.0
2010-08-09,444.0,460.0,444.0,458.0,1279.0
2010-08-10,459.0,459.0,420.0,440.0,11286.0
2010-08-11,422.0,450.0,422.0,440.0,7021.0
2010-08-12,430.0,459.0,422.0,440.0,244171.0
2010-08-13,431.0,506.0,431.0,450.0,74592.0
2010-08-16,464.0,469.0,450.0,460.0,13081.0
2010-08-17,456.0,474.0,443.0,460.0,17416.0
