,시가,고가,저가,수정종가,거래량,거래대금
2017-07-21,6580.0,6630.0,6460.0,6630.0,24044.0,159411720.0
2017-07-24,6550.0,6620.0,6400.0,6560.0,21574.0,141525440.0
2017-07-25,6530.0,6590.0,6420.0,6560.0,18375.0,120540000.0
2017-07-26,6530.0,6680.0,6430.0,6470.0,13993.0,90534710.0
2017-07-27,6420.0,6529.0,6340.0,6500.0,14404.0,93626000.0
2017-07-28,6569.0,6569.0,6390.0,6420.0,12289.0,78895380.0
2017-07-31,6310.0,6369.0,6140.0,6180.0,19831.0,122555580.0
2017-08-01,6140.0,6380.0,6099.0,6370.0,14432.0,91931840.0
2017-08-02,6369.0,6480.0,6289.0,6420.0,5266.0,33807720.0
2017-08-03,6360.0,6400.0,6240.0,6340.0,15309.0,97059060.0
2017-08-04,6340.0,6440.0,6230.0,6280.0,9863.0,61939640.0
2017-08-07,6209.0,6340.0,6200.0,6340.0,12281.0,77861540.0
2017-08-08,6280.0,6360.0,6170.0,6230.0,8592.0,53528160.0
2017-08-09,6240.0,6240.0,6030.0,6090.0,17915.0,109102350.0
2017-08-10,6050.0,6150.0,6040.0,6120.0,15794.0,96659280.0
2017-08-11,5970.0,6180.0,5970.0,6060.0,16313.0,98856780.0
2017-08-14,6120.0,6170.0,6059.0,6150.0,12717.0,78209550.0
2017-08-16,6110.0,6190.0,5900.0,5940.0,35347.0,209961180.0
2017-08-17,6070.0,6070.0,5900.0,5960.0,17725.0,105641000.0
2017-08-18,5870.0,5940.0,5800.0,5860.0,22174.0,129939640.0
2017-08-21,5740.0,5840.0,5590.0,5600.0,50516.0,282889600.0
2017-08-22,5610.0,5680.0,5550.0,5650.0,16454.0,92965100.0
2017-08-23,5680.0,5880.0,5630.0,5860.0,28417.0,166523620.0
2017-08-24,5819.0,5950.0,5790.0,5790.0,23070.0,133575300.0
2017-08-25,5800.0,5880.0,5760.0,5870.0,12075.0,70880250.0
2017-08-28,5819.0,5890.0,5790.0,5870.0,13419.0,78769530.0
2017-08-29,5810.0,5900.0,5730.0,5840.0,28360.0,165622400.0
2017-08-30,5820.0,5890.0,5800.0,5810.0,12553.0,72932930.0
2017-08-31,5810.0,5840.0,5740.0,5810.0,9335.0,54236350.0
2017-09-01,5850.0,5870.0,5760.0,5810.0,12854.0,74681740.0
2017-09-04,5580.0,5730.0,5560.0,5560.0,30651.0,170419560.0
2017-09-05,5600.0,5640.0,5540.0,5600.0,11291.0,63229600.0
2017-09-06,5600.0,5600.0,5310.0,5370.0,52461.0,281715570.0
2017-09-07,5390.0,5419.0,5200.0,5230.0,44247.0,231411810.0
2017-09-08,5220.0,5240.0,5120.0,5200.0,25117.0,130608400.0
2017-09-11,5160.0,5220.0,4990.0,5060.0,48336.0,244580160.0
2017-09-12,5060.0,5230.0,5060.0,5140.0,25427.0,130694780.0
2017-09-13,5220.0,5220.0,4740.0,4830.0,72718.0,351227940.0
2017-09-14,4830.0,4880.0,4560.0,4840.0,88133.0,426563720.0
2017-09-15,4780.0,4840.0,4640.0,4640.0,37988.0,176264320.0
2017-09-18,4650.0,4830.0,4650.0,4820.0,24409.0,117651380.0
2017-09-19,4840.0,4870.0,4750.0,4820.0,17179.0,82802780.0
2017-09-20,4820.0,4840.0,4640.0,4670.0,24903.0,116297010.0
2017-09-21,4640.0,4690.0,4530.0,4590.0,23551.0,108099090.0
2017-09-22,4590.0,4700.0,4540.0,4700.0,23251.0,109279700.0
2017-09-25,4640.0,4680.0,4540.0,4660.0,15323.0,71405180.0
2017-09-26,4540.0,4800.0,4540.0,4760.0,19825.0,94367000.0
2017-09-27,4700.0,4780.0,4670.0,4680.0,10392.0,48634560.0
2017-09-28,4750.0,4850.0,4660.0,4850.0,10030.0,48645500.0
2017-09-29,4850.0,4930.0,4820.0,4860.0,18982.0,92252520.0
2017-10-10,4920.0,4920.0,4720.0,4800.0,12932.0,62073600.0
2017-10-11,4810.0,4810.0,4640.0,4660.0,17452.0,81326320.0
2017-10-12,4630.0,4750.0,4580.0,4580.0,19400.0,88852000.0
2017-10-13,4550.0,4640.0,4320.0,4400.0,36473.0,160481200.0
2017-10-16,4370.0,4510.0,4340.0,4460.0,24267.0,108230820.0
2017-10-17,4470.0,4820.0,4470.0,4640.0,34288.0,159096320.0
